Time,Symbol,Side,Quantity,Price,Value,P&L,Z-Score
1319,NSPR,BUY,43,1.92,82.56,,-2.1106
1344,NSPR,SELL,43,2.19,94.17,11.61,4.3421
1839,SKLZ,BUY,3,21.12,63.36,,-3.1771
1973,NSPR,BUY,27,3.02,81.54,,-2.7139
2004,NSPR,BUY,29,2.80,81.20,,-2.5606
2005,NSPR,BUY,28,2.80,78.40,,-2.2041
2016,SKLZ,BUY,3,21.08,63.24,,-3.1690
2017,NSPR,BUY,29,2.66,77.14,,-2.0885
2036,NSPR,BUY,30,2.57,77.10,,-2.8782
2037,NSPR,BUY,30,2.57,77.10,,-2.3142
2042,SKLZ,BUY,3,21.06,63.18,,-2.8648
2043,SKLZ,BUY,3,21.06,63.18,,-2.3060
2072,NSPR,BUY,29,2.59,75.11,,-2.2279
2073,NSPR,BUY,29,2.58,74.82,,-2.0099
2074,NSPR,BUY,28,2.58,72.24,,-2.0185
2083,NSPR,SELL,259,2.85,738.15,43.50,2.0112
2168,SKLZ,BUY,3,21.05,63.15,,-2.0469
2185,NSPR,BUY,26,3.00,78.00,,-2.2736
2199,NSPR,BUY,27,2.88,77.76,,-2.6482
2200,FCX,BUY,2,39.40,78.80,,-2.0375
2204,NSPR,BUY,27,2.82,76.14,,-2.5241
2239,NSPR,BUY,29,2.66,77.14,,-2.0188
2273,NSPR,SELL,109,3.00,327.00,17.96,2.2666
2467,SKLZ,BUY,3,20.95,62.85,,-2.0409
2469,SKLZ,BUY,3,20.92,62.76,,-2.1651
2495,NAKD,BUY,109,0.72,78.50,,-2.3704
2555,NSPR,BUY,25,3.07,76.75,,-2.2527
2557,SKLZ,BUY,3,20.87,62.61,,-2.6355
2558,SKLZ,BUY,3,20.87,62.61,,-2.1906
2585,SKLZ,BUY,3,20.80,62.40,,-2.5624
2602,SKLZ,BUY,3,20.80,62.40,,-2.1295
2632,NSPR,SELL,25,3.24,81.00,4.25,4.3589
2706,NSPR,BUY,23,3.20,73.60,,-3.0163
2713,NSPR,BUY,23,3.19,73.37,,-2.5586
2714,NSPR,BUY,23,3.20,73.60,,-2.0056
2763,SKLZ,BUY,3,20.64,61.92,,-2.3769
2764,SKLZ,BUY,3,20.61,61.83,,-2.1907
2783,NSPR,BUY,23,3.04,69.92,,-3.4509
2788,NSPR,BUY,23,3.03,69.69,,-2.7292
2789,NSPR,BUY,23,3.03,69.69,,-2.2260
2878,NSPR,SELL,138,3.47,478.86,48.99,2.2383
2884,GSAT,BUY,50,1.48,74.00,,-2.5236
2885,GSAT,BUY,50,1.48,74.00,,-2.1106
2907,NSPR,BUY,22,3.23,71.06,,-2.8563
2908,NSPR,BUY,22,3.22,70.84,,-2.4117
2916,GSAT,BUY,48,1.47,70.56,,-2.9150
2917,GSAT,BUY,48,1.46,70.08,,-3.0193
2918,GSAT,BUY,48,1.46,70.08,,-2.3919
2919,GSAT,BUY,47,1.46,68.62,,-2.0080
2920,GSAT,BUY,47,1.45,68.15,,-2.2718
3006,NSPR,BUY,22,3.11,68.42,,-2.7619
3007,NSPR,BUY,21,3.11,65.31,,-2.2696
3056,SKLZ,BUY,3,20.35,61.05,,-2.5377
3057,SKLZ,BUY,3,20.34,61.02,,-2.3754
3058,SKLZ,BUY,3,20.31,60.93,,-2.5137
3059,SKLZ,BUY,3,20.25,60.75,,-2.6788
3060,SKLZ,BUY,3,20.23,60.69,,-2.3924
3068,NSPR,SELL,87,3.36,292.32,16.69,2.2771
3108,CCIV,BUY,2,24.32,48.64,,-2.9047
3109,CCIV,BUY,2,24.32,48.64,,-2.4028
3112,CCIV,BUY,2,24.30,48.60,,-2.4071
3113,CCIV,BUY,2,24.30,48.60,,-2.0178
3119,FCX,BUY,1,39.35,39.35,,-2.6303
3146,SKLZ,SELL,54,20.62,1113.48,-6.45,2.3017
