Time,Symbol,Side,Quantity,Price,Value,P&L,Z-Score
2025-05-18 18:47:34,LOW,BUY,2488,200.91,499864.08,,1.9111
2025-05-18 18:47:34,HD,BUY,1401,320.99,449706.99,,0.5570
2025-05-18 18:47:34,LOW,SELL,2488,200.91,499864.08,0.00,0.5570
2025-05-18 18:47:34,HD,BUY,1406,320.02,449948.12,,0.5570
2025-05-18 18:47:34,LOW,BUY,2239,200.91,449837.49,,0.5570
2025-05-18 18:47:34,LOW,BUY,2239,200.91,449837.49,,0.5570
2025-05-18 18:47:34,HD,BUY,1403,320.69,449928.07,,0.5570
2025-05-18 18:47:34,LOW,SELL,2488,200.91,499864.08,0.00,0.5570
2025-05-18 18:47:34,LOW,BUY,2239,200.91,449837.49,,0.5570
2025-05-18 18:47:34,HD,BUY,1400,321.22,449708.00,,0.5570
2025-05-18 18:47:34,LOW,SELL,2488,200.91,499864.08,0.00,0.5570
2025-05-18 18:47:34,LOW,BUY,2239,200.91,449837.49,,0.5570
2025-05-18 18:47:34,HD,BUY,746,321.47,239816.62,,0.7625
2025-05-18 18:47:34,LOW,SELL,3980,200.91,799621.80,-0.00,0.7625
2025-05-18 18:47:34,HD,SELL,5610,321.83,1805466.30,5687.39,0.7625
2025-05-18 18:47:34,LOW,BUY,1195,200.91,240087.45,,0.7625
2025-05-18 18:47:34,HD,BUY,746,321.70,239988.20,,0.7625
2025-05-18 18:47:34,LOW,SELL,1195,200.91,240087.45,0.00,-0.9485
2025-05-18 18:47:34,HD,BUY,747,321.41,240093.27,,-0.9485
2025-05-18 18:47:34,HD,SELL,2239,321.56,719961.65,551.29,0.9856
2025-05-18 18:47:34,LOW,BUY,1195,200.91,240087.45,,0.9856
2025-05-18 18:47:34,LOW,BUY,1195,200.91,240087.45,,0.9856
2025-05-18 18:47:34,HD,BUY,746,321.55,239876.30,,0.9856
2025-05-18 18:47:34,LOW,SELL,2390,200.91,480174.90,0.00,-0.7454
2025-05-18 18:47:34,HD,SELL,746,321.52,239853.92,-22.38,1.1451
2025-05-18 18:47:34,LOW,BUY,1195,200.91,240087.45,,1.1451
2025-05-18 18:47:34,HD,BUY,747,321.30,240011.10,,1.1451
2025-05-18 18:47:34,LOW,SELL,1195,200.91,240087.45,0.00,1.1451
2025-05-18 18:47:34,HD,SELL,747,321.64,240265.08,253.98,1.1451
2025-05-18 18:47:34,LOW,BUY,1195,200.91,240087.45,,1.1451
2025-05-18 18:47:34,HD,BUY,747,321.41,240093.27,,1.1451
2025-05-18 18:47:34,LOW,SELL,1195,200.91,240087.45,0.00,1.1451
